Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Geo_area,Population,Actual_cases
Bangladesh,South,2017,Lake,2.56,6.67,3.09,4.65,28.86,11.31,3303,Filtration,99,406,12,77,63,60510,86.2,45,61,2095,22.21,798,13225,10553550,1266
Bangladesh,West,2021,Spring,0.17,7.95,0.17,4.41,44.06,16.81,2796,Boiling,58,131,41,94,90,24966,48.8,47,55,2430,12.58,627,40437,25353999,10395
Bangladesh,West,2019,River,6.23,7.16,2.0,9.77,11.14,12.16,3865,Chlorination,51,166,28,89,2,26375,57.68,88,46,1195,11.26,841,40437,34007517,9522
Bangladesh,West,2022,Spring,7.2,6.3,1.6,6.76,5.48,17.61,2220,Boiling,96,396,0,45,5,6072,10.18,59,21,796,3.22,855,40437,34573635,0
Bangladesh,Central,2001,Tap,6.25,6.13,2.77,9.38,8.16,2.33,2948,No treatment,94,170,35,9,2,11539,84.24,65,36,1537,35.56,438,31178,13655964,4779
Bangladesh,Central,2003,Lake,0.71,7.35,3.16,5.18,4.3,0.4,2680,Boiling,87,109,26,76,84,23915,21.01,85,80,2918,8.92,844,31178,26314232,6841
Bangladesh,North,2009,River,0.43,7.7,0.35,3.26,33.8,10.83,228,Chlorination,35,314,16,95,75,35193,2.13,29,67,2309,7.02,285,34338,9786330,1565
Bangladesh,North,2022,Pond,0.19,7.17,2.63,5.68,2.9,15.29,2695,Boiling,70,456,27,88,22,90410,9.0,56,67,2365,12.11,535,34338,18370830,4960
Bangladesh,North,2003,Lake,9.98,7.95,4.45,5.66,21.82,18.84,3654,No treatment,79,446,48,65,60,63690,96.67,52,85,1578,20.52,805,34338,27642090,13268
Bangladesh,East,2005,Spring,8.39,8.41,2.37,8.08,2.48,14.75,396,Chlorination,90,178,49,26,67,31178,57.46,60,31,1422,18.87,839,46544,39050416,19134
Bangladesh,North,2020,Well,4.25,6.07,0.9,8.28,1.31,3.27,2176,Boiling,58,90,1,88,31,25317,91.05,68,96,2758,31.07,113,34338,3880194,38
